rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1612714822855030256,,7,,1612714822,822990303,'',2,"""/record_1612714822781121449""","""Subscribing to /rosout""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855182296,,8,,1612714822,825030081,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/ring_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855222341,,9,,1612714822,827014669,'',2,"""/record_1612714822781121449""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855234958,,10,,1612714822,828978467,'',2,"""/record_1612714822781121449""","""Subscribing to /connected_clients""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855246104,,11,,1612714822,830874167,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/index_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855257981,,12,,1612714822,832737282,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/ring_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855268474,,13,,1612714822,834586529,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/pinkie_finger_joint_1""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855281542,,14,,1612714822,838998644,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/pinkie_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855295331,,15,,1612714822,841385771,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/thumb_base""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855325804,,16,,1612714822,843678297,'',2,"""/record_1612714822781121449""","""Subscribing to /diagnostics""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855343037,,17,,1612714822,846080745,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/thumb_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855392066,,18,,1612714822,848186593,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/pinkie_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855399366,,19,,1612714822,849890650,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/middle_finger_joint_1""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855408528,,20,,1612714822,851571405,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/middle_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714822855419333,,21,,1612714822,853121350,'',2,"""/record_1612714822781121449""","""Subscribing to /force_joints/hand/middle_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714823026574209,,16,,1612710017,936772108,'',2,"""/rosapi""","""Rosapi started""","""rosapi_node""","""<module>""",202,[/rosout]
1612714823028175574,,157,,1612713805,66190004,'',2,"""/rosbridge_websocket""","""[Client 48] Subscribed to /force_joints/hand/thumb_finger_joint_2""","""protocol.py""","""RosbridgeProtocol.log""",393,"[/force_joints/hand/ring_finger_joint_1, /force_joints/hand/ring_finger_joint_3, /force_joints/hand/ring_finger_joint_2,"
1612714823028802448,,23,,1612714630,837193012,'',2,"""/serial_node""","""Setup subscriber on /index_finger_vibro [std_msgs/Float32]""","""SerialClient.py""","""SerialClient.setupSubscriber""",591,"[/force_joints/hand/ring_finger_joint_1, /force_joints/hand/ring_finger_joint_3, /force_joints/hand/ring_finger_joint_2,"
