rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1612714346166781251,,7,,1612714346,116145523,'',2,"""/record_1612714346085076404""","""Subscribing to /rosout""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346166893796,,8,,1612714346,121828697,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/ring_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346166922546,,9,,1612714346,132226675,'',2,"""/record_1612714346085076404""","""Subscribing to /rosout_agg""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346166947370,,10,,1612714346,134251333,'',2,"""/record_1612714346085076404""","""Subscribing to /connected_clients""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346166970081,,11,,1612714346,136931993,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/index_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346166995496,,12,,1612714346,139187188,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/ring_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167003968,,13,,1612714346,140894378,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/pinkie_finger_joint_1""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167020911,,14,,1612714346,144546637,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/pinkie_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167029843,,15,,1612714346,146565928,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/thumb_base""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167033248,,16,,1612714346,148692957,'',2,"""/record_1612714346085076404""","""Subscribing to /diagnostics""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167092259,,17,,1612714346,157758548,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/thumb_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167104847,,18,,1612714346,159387011,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/pinkie_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167113869,,19,,1612714346,161205876,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/middle_finger_joint_1""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167125525,,20,,1612714346,163160226,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/middle_finger_joint_2""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346167220837,,21,,1612714346,165068974,'',2,"""/record_1612714346085076404""","""Subscribing to /force_joints/hand/middle_finger_joint_3""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1612714346381083820,,12,,1612710017,936772108,'',2,"""/rosapi""","""Rosapi started""","""rosapi_node""","""<module>""",202,[/rosout]
1612714346381970680,,153,,1612713805,66190004,'',2,"""/rosbridge_websocket""","""[Client 48] Subscribed to /force_joints/hand/thumb_finger_joint_2""","""protocol.py""","""RosbridgeProtocol.log""",393,"[/force_joints/hand/ring_finger_joint_1, /force_joints/hand/ring_finger_joint_3, /force_joints/hand/ring_finger_joint_2,"
1612714346385909614,,23,,1612713887,180661916,'',2,"""/serial_node""","""Setup subscriber on /index_finger_vibro [std_msgs/Float32]""","""SerialClient.py""","""SerialClient.setupSubscriber""",591,"[/force_joints/hand/ring_finger_joint_1, /force_joints/hand/ring_finger_joint_3, /force_joints/hand/ring_finger_joint_2,"
